067F47EA	Telcordia Technologies
0743CD5B	Johannes Kepler University of Linz
07FDF9F9	King Fahd University of Petroleum and Minerals
078BB0FF	Department of Trade and Industry
0A2FAFA5	Duke University
06194FDE	Rutgers University
092FD9CF	University of Auckland
09B2D407	George Mason University
031C31BE	University of Waikato
050513B0	University of California Davis
0661DECB	Worcester Polytechnic Institute
0BCDC3AB	Wentworth Institute of Technology
03FC3F40	Chalmers University of Technology
061B6EC0	Marquette University
004CA7A3	Mcgill University
0C00C58C	Bae Systems
0467072E	Tera Computer Company
0474BFAF	Texas Instruments
070DD774	Australian National University
001D0918	Institut Eurecom
09DC92C5	Indiana University Bloomington
4E55E3A2	Institut National De La Recherche Agronomique
070A58AF	New Jersey Institute of Technology
083839C7	North Carolina State University
0462335D	Mathematical Sciences Research Institute
01C915CD	Center For Information Technology
03F265ED	Cadence Design Systems
4E47B81B	Russian Academy of Sciences
348EB203	Nanjing University
025B3E2B	Gwangju Institute of Science and Technology
0134B592	Peking University
01109E6D	University of Toulouse
00B0637E	Ecole Normale Superieure De Cachan
07BC3356	University of Vienna
08BCC883	Beckman Institute For Advanced Science and Technology
0B0ADEB6	University of Toronto
500F4F9C	Intel
08EF476D	Max Planck Society
501B6986	Acxiom
01B1760F	University of Manchester
339CD1B3	Vu University Amsterdam
4C5370B9	Ames Research Center
0742D5C5	Louisiana State University
0A25A483	University of South Australia
4F05DC4B	Yahoo
006952C5	Brandeis University
007D2F41	Ludwig Maximilian University of Munich
4D5D795C	International Computer Science Institute
044C0559	Bell Labs
045D3373	Language Technologies Institute
0B56FA70	University of Innsbruck
007B93A0	Department of Computer Science University of Illinois At Urbana Champaign
02D828C1	Huazhong University of Science and Technology
0349EE07	University of California
0049DC81	Toyota Technological Institute
0507BBD7	Temple University
4E7E7781	Dupont
05F6E42A	University of Stuttgart
08117FD8	New York Institute of Technology
01AFAF1B	University of Surrey
0626251D	Florida State University
05E79D01	Tsinghua University
086E5DD5	Monmouth University
4F2861B3	Sun Microsystems
0B78A521	York University
4D0FB79F	Commonwealth Scientific and Industrial Research Organisation
35999274	Fruit of Islam
0100E2FE	University of St Andrews
03669064	Rockwell Automation
026020B1	Mitsubishi Electric
0547A11C	La Poste
04BD5400	University of Louisiana At Lafayette
0C280BFF	Keio University
09989277	Queensland University of Technology
4F8CCD61	Jet Propulsion Laboratory
07CC4A10	University of Leeds
08B9DFEF	University of Tsukuba
031EE95E	Ohio State University
0975B154	Chulalongkorn University
04FEF040	University of Genoa
08702BDB	Hong Kong Baptist University
05F5F76A	Brigham Young University
00090A43	Indiana University
06041575	University College Dublin
0C2DEF79	Aarhus University
075ABF1F	Uppsala University
03376F29	Weizmann Institute of Science
02642F55	University of Oxford
04FD6759	University of Michigan School of Information
34F273FD	Institute of Company Secretaries of India
06CBEAA9	University of North Carolina At Chapel Hill
06F81498	Lattice Semiconductor
04E0D7FF	Fairchild Semiconductor International Inc
075CFC38	University of North Texas
00D956B2	Hong Kong Polytechnic University
035F81F4	Monash University
0153C041	National Central University
0D109F83	Purdue University
03528CBA	Technical University of Crete
0298F6CF	University of Wisconsin Milwaukee
0BF48E84	Hrl Laboratories
0388650E	Indian Institute of Science
09368EC9	University of California Santa Barbara
07427AD9	Leiden University
05DCD65A	Delft University of Technology
4FB60B96	Luxtera
4F1AE805	State University of New York System
032470B7	Blekinge Institute of Technology
0B3FCABE	Vytautas Magnus University
0C33D1B1	Queen S University
07698D3B	University of London
06D74A38	Software Engineering Institute
03E20219	Hitachi
0B0DA3DC	Wayne State University
2BECA4ED	College of Western Idaho
4EDB9E68	Drug Enforcement Administration
01028E71	Clarkson University
002932B0	Pontifical Catholic University of Rio De Janeiro
0BC09FA0	Brics
4F4B7F14	United States Department of Defense
08A948CC	Johns Hopkins University
4E286443	Apple Inc
4CD84994	Oak Ridge National Laboratory
4D50973C	Space Telescope Science Institute
06918666	Universidade Federal De Minas Gerais
05EDB3A0	Katholieke Universiteit Leuven
09655E51	California State University Northridge
061BA55B	Supelec
0368D319	University of Lugano
0B4CEC90	Kansas State University
090B77B3	University of Waterloo
085C9D9D	Technical University of Kenya
03FD8454	University of Maryland College Park
4EB3BEDB	Cnet
074492CB	Institute of Mathematics
0A41BF9E	College of Science and Technology
0B5CD1C8	Lulea University of Technology
009962AC	New Mexico State University
025B9122	University of Warwick
0ACFCEA7	State University of Campinas
00493E54	Southwest Jiaotong University
34C77BFA	Hp Labs
01A5BDF7	Northeastern Illinois University
05397CB8	Vtt Technical Research Centre of Finland
0477FFD3	Carnegie Mellon University
061A86E7	University of Arkansas At Little Rock
4F076E00	Siemens
08BA2180	University of Kansas
376D52AD	Royal Ulster Constabulary
01EF6A99	Merrill Lynch
059DE5E4	Indian Institute of Technology Kanpur
4D71CB46	National Institutes of Health
062D596B	University of California Riverside
02DB0F2D	Vmware
0228EE3C	Swedish Institute of Computer Science
4D56FE9E	University of North Carolina System
09E0E324	University of Georgia
0582A04E	Colorado State University
0404AD5B	Lancaster University
0A08EC51	Kyoto Sangyo University
0BF77E37	Hong Kong University of Science and Technology
08F7F83A	Emory University
4E13CA1C	Sarnoff Corporation
01E3E4AD	Agere Systems
36F83BAF	Astron
0243A2DA	Guangzhou University
4CE326AE	Goodyear Aerospace
066A71BC	University of Notre Dame
0259891E	University of Illinois At Chicago
069DA7A7	Sprint Corporation
03369A6C	Technische Hochschule
03839B48	Case Western Reserve University
4F27ABAA	Sybase
070A9F1F	General Motors
04935CE8	University of San Francisco
4CC89935	United States Naval Research Laboratory
04AF010A	Columbia University
022F9467	Courant Institute of Mathematical Sciences
07F90283	Interdisciplinary Center For Neural Computation
02066FCD	Xerox
087E851D	College of The Atlantic
0B0338EC	Information Sciences Institute
4ECE052B	Booz Allen Hamilton
36A19CD1	Burlington Coat Factory
06771A5A	Stevens Institute of Technology
095B60F6	Jordan University of Science and Technology
07681456	Oxford Brookes University
012E6F4E	Chinese Academy of Sciences
04756336	University of Tokyo
05B3DFF1	Universite Catholique De Louvain
863BFDE1	Facebook
007B4591	Clemson University
09D3A574	Lim College
0368E8BE	New York University
4C462F03	Artificial Intelligence Center
0B890E85	George Washington University
004E3300	Ecole Polytechnique Federale De Lausanne
86366AC3	Nippon Telegraph and Telephone
4F2A68A7	Carnegie Learning
0B546E88	Durham University
4F14D3E8	Americorps Vista
017889A7	Indian Institute of Technology Madras
0C2FE58D	Washington University in St Louis
03BF901A	Federal University of Amazonas
0619822C	Karlsruhe Institute of Technology
0489A984	Zhejiang University
07874D3C	University of Iowa
0A97E0C1	The Chinese University of Hong Kong
084D01D3	Seoul National University
06CD3667	Leibniz University of Hanover
09E3EE34	National University of Singapore
043B1E1B	Syracuse University
05E740A3	Mississippi State University
00D4F325	Bar Ilan University
017F2ECE	Federal University of Pernambuco
09DE2F57	Loyola University Maryland
0A10A938	Bilkent University
07B99BFA	University of Sydney
005DC2E8	University of Minnesota Duluth
4D0C933D	Toshiba
005237C4	University of Rochester
0027E0B8	University of South Florida
0527EA39	University of Delaware
4F872588	At T Labs
08EDE3C2	Institute of Psychology
077EC9E4	University of Western Ontario
03D00B37	Massachusetts Institute of Technology
08B17323	Vienna University of Technology
03CD1843	Florida Atlantic University
00FA1C18	Tel Aviv University
0904612E	Cisco Systems Inc
0A9812F0	Japan Advanced Institute of Science and Technology
4E68E0C9	University of Maryland Medical Center
02AA1FA9	University of Science and Technology Sana A
021CC5D8	Eth Zurich
0815134D	Kyushu University
012C9CDF	Florida International University
0A398D80	Free University of Bozen Bolzano
08EF72DE	Kent State University
862ADA3F	Huawei
00784876	University of Glasgow
0112E226	Simon Fraser University
0AC9113B	Illinois Institute of Technology
0B8CC95E	Yonsei University
09E1E653	Rensselaer Polytechnic Institute
4DE595E9	Cybercast News Service
07CA5884	Georgia Institute of Technology
0045D9F6	Technical University of Berlin
00FF56A8	National Taiwan University
0389C918	Instituto Politecnico Nacional
066B7DC3	Roskilde University
01E46A0B	University of New South Wales
02B911E0	Ecole Polytechnique De Montreal
028F2298	Dublin City University
0754B26A	Istituto Di Scienza E Tecnologie Dell Informazione
07434009	The Graduate Center Cuny
4ECD74BC	Alcatel Lucent
099D876D	University of California Los Angeles
05C86094	Stanford University
05282E0D	University of Texas At Austin
017C99DB	Fudan University
0474FB72	Rice University
09287CDD	University of Leicester
038D97B3	Institute of Mathematical Sciences Chennai
0B46561F	University of Milan
00A3C9C2	Akamai Technologies
07634566	Binghamton University
068E815A	University of Essex
038CB6F6	Stony Brook University
003E1361	University of Belgrade
08902028	Research Institute For Advanced Computer Science
4D1119E2	Lincoln S Inn
0BC7337B	National Research Council
0AD3D01F	San Diego Supercomputer Center
0C2C9DD2	University of California Irvine
4F799D2F	Motorola
0AD27695	Georgia State University
351E811C	Aalborg University
0B0E659A	University of Canterbury
05E5F910	Ogi School of Science and Engineering
06C2C7BC	Ecole Normale Superieure De Lyon
4CCB3E34	Technological University Kalay
4F1B5685	Decode Genetics
028389E0	Language Computer Corporation
4E3254D7	Advanced Micro Devices
0BC1D058	Hebrew University of Jerusalem
06D35AFB	New York University Stern School of Business
0C03398D	Tohoku University
01FE29EA	University of Massachusetts Boston
04F89294	Rockefeller University
0BF6BC56	Vanderbilt University
335ED749	Sapienza University of Rome
021B9D77	Naval Postgraduate School
037E5334	Seattle University
04946B1E	University of Missouri
067461C8	University of Pisa
0A0D2BAD	University of Calgary
01328BF3	Princeton University
050BB43F	Academia Sinica
07679147	Ben Gurion University of The Negev
08D6D550	Netherlands Organisation For Applied Scientific Research
02B9F572	Codex Corporation
034F36C0	Department of Engineering Science University of Oxford
084F654D	Trusted Information Systems
4E718DAA	Linkedin
056D3FC6	Texas A M University
0B845BA3	University of Trento
0B08755E	University of California Santa Cruz
03FED160	Carleton University
0D52D485	University of Utah
043A55FE	Universite De Montreal
4CDD5BAE	Bbn Technologies
01FACAD8	University of Florida
0229448F	University of California San Diego
04C1EC81	University of Guelph
080E155C	University of Bonn
0B05FE67	University of Oslo
0B8684B1	National Chi Nan University
4C75849B	Tektronix
0532D181	Michigan State University
04F353DF	Robotics Institute
00C50601	Northeastern University
00725F06	Idiap Research Institute
05E1B1D9	University of Edinburgh
03C0079C	Technische Universitat Munchen
04866877	Nara Institute of Science and Technology
06188F1E	Insead
008ED3A6	University of Bologna
0AE9651A	Shanghai Jiao Tong University
093456D7	University of Alberta
09B52E07	Tianjin University
4EB83D69	Canon Inc
00CE2969	Texas State University
0ACFF857	American University
09B0BBA7	University of Texas At Dallas
0C33EF81	University of Paris
0CECE932	Ecole Centrale Paris
06C0EC61	Hiroshima University
099D8475	Institute For Theoretical Computer Science
09E00B69	Sungshin Women S University
09B136B8	University of Sussex
0126039E	Qualcomm
0A0E755C	City University of Hong Kong
025F5CB1	Pierre and Marie Curie University
0BCEDAAB	Kasetsart University
07F892EC	University of Helsinki
0A2510E5	University of Pittsburgh
0C55BCAD	University of Paderborn
0B185497	Lehigh University
0296D744	University of Southampton
096B160E	University of Richmond
09490884	University of South Carolina
08802AB2	University of Crete
03FA8F1E	University of Milano Bicocca
09299093	University of Ottawa
08BDCA25	University of Liverpool
087AC4EF	University of Nottingham
0A1C9634	Blaise Pascal University
04D537E8	Science College
0133076F	Bielefeld University
0AC280F8	Copenhagen Business School
0003B055	University of Cambridge
0C026C79	Mit Sloan School of Management
0486EC92	Free University of Berlin
056EA0E2	University of Sheffield
0C01DCFD	University of Washington
04F1BEA5	Rmit University
0088BF3F	National Autonomous University of Mexico
07BE273D	Dalhousie University
0AF6A309	King S College London
4E6D7CF9	Data Domain
4F3BE6AD	Philips
0476D8B7	Marmara University
02C1AEE3	University of Manitoba
0B2D8123	Lund University
0A9418E0	Polytechnic University of Turin
4EF77785	Hewlett Packard
0172E187	Suffolk University
0BB91809	Joint Genome Institute
05DBB954	Osaka University
4D634C00	Sri International
028E8644	Nicta
070DD5D4	Nec
0ACD6604	University of Oregon
0A9EA77E	Southern Methodist University
0B09F358	Mitsubishi Electric Research Laboratories
0B3CDF24	University of Colorado Boulder
0BC2EB17	University of Mainz
0A5DAC76	Iowa State University
0AD3BA36	University of Strathclyde
08EAA2CB	Xidian University
04B999C0	University of Maryland Baltimore County
056A2A0B	University of Franche Comte
0C37CBAD	Harbin Institute of Technology
0A8FBBC7	Sun Microsystems Laboratories
0A990BE9	University of Mannheim
008F0AD9	Ottawa University
0787E01C	Portland State University
0965EC45	University of Liege
0190EC9A	Fx Palo Alto Laboratory
03A194FC	Avaya
4C6B6145	Argonne National Laboratory
05364FE4	Xi An Jiaotong University
0C3BAC1F	Nankai University
0372589D	University of Neuchtel
0764F090	University of Copenhagen
0221BC42	Pittsburgh Supercomputing Center
4F5B50D5	University of Hawaii
03959311	Nagoya University
0312B01D	University of Virginia
0A1AFB6C	The Aerospace Corporation
045716B5	Drexel University
0C286E79	Blue Martini Software
0267A61E	University of Chicago
069F11AE	Boston University
066AF386	Dartmouth College
02292F00	Ieee Computer Society
0966B229	University of Illinois At Urbana Champaign
4CE6FC2D	Microsoft
8623AC36	Telefonica
09CC60BD	Fordham University
09F18F79	University of Tampere
08D7E515	National Chiao Tung University
00243975	Max Planck Institute For Software Systems
03C436D1	University At Buffalo
09B48D0B	Indian Institute of Technology Bombay
4DDC0B9D	Goddard Space Flight Center
341E1277	National University of La Plata
0A1AB335	University of New Mexico
06ACAD91	Northwestern University
087CE01A	Electronics and Telecommunications Research Institute
0079454A	University of Maine
0352694C	Arizona State University
039AFB05	Middlesex University
040AF21A	Helsinki University of Technology
0EFC6DD1	University of Girona
0BF79DFE	National and Kapodistrian University of Athens
01A842AA	Brown University
0C321FC4	Rowland Institute For Science
0A9A3087	University of Western Australia
02924052	Information and Communications University
000138AB	Curie Institute
0762929E	Pohang University of Science and Technology
088AA042	University of Kentucky
031FD638	Federal University of Parana
