7B1B8E6E	Jonathan J Cadiz
80DF4639	J Michael Ellsworth
7ED066C7	Joel L Wolf
7E1D731C	Susie Wee
76D19E49	Rob Koeling
8037D799	Yaowen Huang
0158E5F0	Richard E Korf
8089809C	Stanley M Sutton
808FE249	Feng Qiu
79A2F57C	Oren Glickman
802B4A20	Robin Sommer
7AA4DC3D	Vittorio Maniezzo
7765FA2E	Balachander Krishnamurthy
7D3CE494	Abderrahmane Aggoun
8118A410	Michael E Tipping
7BA1338F	Alin Dobra
7E738639	Thomas F Gordon
14DB3BF7	Nathan S Shenck
847AE4CC	Timothy Mann
813426E4	Paul V Gratz
80A062AA	Monirul Sharif
7F1EB4F1	Robert W Root
28C58049	Andreas Stolcke
7CA2F63C	Michael Naehrig
063A61A9	Daniel D Corkill
12CCA4DD	William H R Equitz
7E7A0143	Brent B Welch
7B3551B2	Daniela Rus
7CDE8DF5	Vincent Rabaud
7B5DA7BC	Natalie Glance
7DAA0288	Kishor S Trivedi
7D2DB5A1	Steve Furber
2179C649	Lukasz Kurgan
78E9A22C	Paul Luff
7E4F59A3	Wei Xu
7F179AA3	Robert Cohn
860708ED	Leon J Osterweil
806738F5	Beichuan Zhang
28925BE6	Yves Lesperance
84F7271F	Beatrice A Golomb
14290BB0	John Hatcliff
7D64B604	Dan Rubenstein
7EF69026	Tomas Feder
7F0BFB70	Hairong Qi
7D3EE6A2	Meeyoung Cha
7F3BCCA6	Cheng Xiang Zhai
5880DD36	Patrick Eugster
01377BFE	Giuseppe Psaila
12F29F47	Erik Vandekieft
7EC11591	Dhabaleswar K Panda
2C5AD4DC	Scott E Breach
7C432D2A	Alexandre Proutiere
79B37948	R Clinton Whaley
7CA0A84F	Tijmen Tieleman
7F0E8C53	Andrew Harter
7C197C19	Andrea Goldsmith
7D1B1C1B	Hansj Boehm
7D5C3E93	Lin Cai
2A9A37E9	Charles J Fillmore
7DABD554	Danlu Zhang
7E0A0686	Christopher D Chambers
7F7751DF	Jack W Davidson
84D7446D	Manish Gupta
0E26BDB3	Hector Garciamolina
75AD3DD3	Christian Koza
83F5DEF1	Marty Borden
804D8FEC	George Kurian
036C6C1D	J E Colgate
7E42B492	Lun Li
5E0F6927	Irith Pomeranz
853A6D1E	Lei Wang
7E0EE3A4	Makesh Pravin Wilson
85484796	Ophir Frieder
7E8949BB	Michael L Scott
76EF50FD	Rabin Patra
6FBBD1CE	Yossi Matias
842B88F5	Bengt Jonsson
78C5D957	Anirban Dasgupta
7E92082D	Prakash Sundaresan
703A905B	Steven Rudich
7D9B91C4	Minling Zhang
756D5165	Andrei Broder
13148288	Avinash Sodani
7E4DA2B1	Jiayuan Huang
7D37CBD8	J F Dean
7CF2D7FE	Alexander Yip
E9CF8DE5	Min Fang
7D3C37B5	Mingyan Liu
7F650246	Gregory F Cooper
847A719A	Cristina Re
81027D47	Qing Zhang
7F372017	Donald W Nelson
7F76DA6C	Jean Ponce
7E7F7ED3	Richard P Draves
78A716B2	Mohamed G Gouda
76C16D30	Roger M Needham
82B17182	Dylan Mcnamee
848370F7	Anthony Bonner
7EA752AE	Robert Morris
7E24DEED	Lei Rao
7D11126D	Takeshi Yamada
77DC969A	Chaitan Baru
86351A26	Nicolas Pasquier
809A486D	Jing Wang
7E86EACF	Monson H Hayes
002A9980	Gregory R Ganger
852545AF	Hyunjoo Lee
7EFAF606	Murtaza A Basrai
804CE85A	Bobby Bhattacharjee
7782B521	Rick Kazman
24805FA6	Emmanuel Cecchet
80FE7482	Antonia Bertolino
80049091	Donggang Liu
7AEBF3AE	Robert H Deng
7B00A7D0	Joseph M Hellerstein
7DF452A6	Bryan Black
00F8ED56	Chandramohan A Thekkath
80C8D19C	Abhijit Sahay
9A1D6F8C	Y Kang
7CECFE4E	Bill Howe
85248966	Fernando Pereira
7EA0B8C7	Manish Mehta
7DE26DC6	Roger S Cheng
7E25FDBD	Neil D Jones
8163E367	Z Safar
BBF353D2	Min Xu
80C71030	Wenhua Ju
8387980F	H O Hoppe
326855A1	Raul Medinamora
7E28BA80	Hsinchou Chi
0624A287	Norbert Fuhr
7E902951	Chingtien Ho
7E4D3CE7	Yohan Boichut
793DA93D	Reinhard Koch
28D4D015	Holger Boche
7F417DB0	Wayne F Boyer
7DCE27C8	Russell Hunt
80407C0C	R L Thomas
0CAE986D	Shah
7D1E16E3	H S Kim
80E5E591	Ken Currie
75264DBB	Nathan Bronson
7A3AF967	Maria Jump
7B9A2257	D C Rife
7AE192A3	Ron Sivan
7EA3D2C5	Ravi Kumar
860B0314	Ivan E Sutherland
7DB089FC	Baik Hoh
809A6BA4	Jennifer M Schopf
7D294511	Greg Hutchins
7C010DEC	Georges Dupret
7E39E4E8	Ilsoo Ahn
862833E1	Sean Suri
7EA71F2D	Fangzhen Lin
7DFAA11D	Mark Horowitz
8167E511	Keping Long
76D934E8	Eugene C Freuder
1176A912	Aaron Slowan
7682DEE4	Neal Lesh
0C4512D2	Peter B Danzig
750902B9	Mikhail Bilenko
837C2BD7	Alan Demers
0EB4B896	Sylvie Perreau
7585C2A5	Michel Galley
68275563	Daniel Stodolsky
0517B50C	Yuval Fledel
815E03FA	Jinwen Ma
779E6480	Wei Xu
7BB721EC	Barton Sano
786A14C0	David Ofelt
777FAB1B	Moshe Blank
7D242F75	Saharon Rosset
80A560F0	Massimo Paolucci
7ED349BE	Chunhung Cheng
4716274A	Finn Kensing
804D8F96	Rudolf Bayer
7CEF98DD	Catherine C Marshall
7FFCADEE	Simon Weaver
7B9C63AC	Prem Melville
292C39AB	Ronen I Brafman
7E59159B	Sue B Moon
7FFDACD3	Patrick Crowley
02FC6B9E	Marios Hadjieleftheriou
8138AE0C	F A Rosenberg
7DE562FD	Gary M Weiss
7C6EBE82	Arvind Arasu
7DDED2F4	Mo Li
0488B1AA	Marcus A Maloof
7EDF15BD	Atul Goel
78751011	Craig A Knoblock
7ABC766B	Gavin Jancke
0C092684	Ron Avnur
0F412AC1	Michelle Gumbrecht
7E63E586	Vaughan R Pratt
81674A06	Stefan Savage
85C6F739	Andrea Forte
7E8C845F	Konrad Lai
84B9AC01	K Chenchuan Chang
7DD373CC	Yi Chen
8638CAAF	Tyson Condie
810B7463	C Y Wong
7EC12BFB	Paul Aarseth
791B6320	Sadasivan Shankar
2343C179	Chanan Glezer
79762927	Tim Bernerslee
7535BF44	Mohamed A Soliman
7FF48467	Andrian Marcus
7E35F5A8	Guy Lewis Steel
7DBF284B	Sangdon Lee
7EE6CA91	Sirish Chandrasekaran
805BC96F	Jon Crowcroft
7596AEC2	Mitsuru Ishizuka
7EA194E3	Lizhu Zhang
7EC36D5B	Justin Pettit
7C75C354	Marco Patella
85DB648F	Dennis Fetterly
002C2840	Michael J Cafarella
80D7A9A0	Christof Koch
80DEB807	Anthony Schaeffer
80E69EBF	Theresa Wilson
80388B5E	Tian He
7E19A9CA	S Sudarshan
0D1A2EC2	Edward H Adelson
771E2DCB	Paulo Braz Golgher
85173C55	Prabhakar Raghavan
80A40BB5	Ayalvadi Ganesh
84D6EE21	Barry A Woodward
80B8EEBD	Stephanie Forrest
7DE02C76	Kristian J Hammond
7D39BE92	Pradip Bose
7DD52D07	Jue Wang
1ECEB3EE	Michael Elhadad
034E1A0C	Vassilis Christophides
783C6135	Ian Foster
77A18556	Stefan Schrodl
7B82A0C0	J Ben Schafer
84D9595C	Vijayshankar Raman
12F4B032	Jerome H Saltzer
770093E0	Alexandru Iosup
82E6C9E0	Viswanath Poosala
80006CCF	Michael J Franklin
858AD332	Einat Amitay
7D8FDF52	Charles L Isbell
8593D40C	Nick Cercone
80FB201E	Raimund Seidel
8580695C	Li Zhang
802E5173	Zhen Liao
27A33837	Ted Kremenek
76A688CE	Rob Fergus
8155C123	Marian H Nodine
7D84F9F8	Simon Tong
115BAF37	Venky Harinarayan
7D72091E	Henk Sips
10035F2F	Edouard Bugnion
7F62B561	Ravi Pappu
7C059D22	Ian M Holland
8050CB21	Michael Anderson
7F960928	Takeo Kanade
09ABCB97	Volkan Cevher
622A12BA	Yannick Chevalier
7D229CBB	Haifeng Jiang
5F4B9BD9	A Lafanechere
7D9E216B	Elise A Yoder
844B0D14	Dirk Grunwald
7D6EA0D3	R H Patterson
29B5A5B6	Annemarie Kermarrec
285EF22F	Imre Csiszar
763A79DD	Zeshan Chishti
84FD1A48	Martin Vetterli
7F0384EA	Matthias Palmer
85F360CF	Joe Kilian
806325E7	Jason Miller
7EE5513B	Haiyong Xie
7EFCCB7F	Tom Goff
7DF1F967	Paul Resnick
80D6B208	Gul Agha
7D6A2ECB	Mike Webb
78EEC71E	Lov K Grover
7CEBA3F3	Yukwong Kwok
7A1B3124	Michael Walfish
11C3D62A	Vasilis Vassalos
7DD6C7AD	Parthasarathy Ranganathan
80785DA9	Sara Cohen
86251A13	Sanmay Das
7E33403F	Xinping Zhu
84FA4C2C	Xiaohua Liu
7C21B8B8	Keith Cheverst
7BAA4A2F	Gerald Jay Sussman
80664857	C C Enz
08C0A8A7	Paul Smolensky
7E5C7A57	Steven K Reinhardt
0F8B6C96	Paul R Carini
8056C90B	Anirudh Ramachandran
7F797720	Axel Martens
78DA9A43	Hari Balakrishnan
862F255B	Satanjeev Banerjee
0ADEBB35	Nils Klarlund
8513A2D8	Walter Van De Velde
84C39B4D	Arthur C Sanderson
791A57A5	Jolene Galegher
7744136F	Konstantinos Stathatos
6E98F0AD	Holger Rauhut
00B2FEE0	Bruno Torresani
7C81748A	Heiner Stuckenschmidt
84E5DCDC	David Nister
8541E301	Gang He
789A5AF8	Terence C Fogarty
7D1D1549	P J Brown
7B04888F	Valery Guralnik
812FDF0F	Guohong Cao
8106C88A	Flemming Andersen
7D41F9A5	Winter Mason
8557C361	Mary K Vernon
7EA1EDC1	Shuyao Chien
84AF8AC7	Xiaozhou Steve Li
854F28E6	Yi Zhang
84594F3B	Chong Wang
06C8A61E	Matthias Felleisen
7B883CC5	Bob Janssens
86276AA5	Ilya Shpitser
80A062FE	David H D Warren
7ED4AC24	Yunghsiang S Han
7F20BD13	Jeffrey Considine
7F9907E3	S R Zhang
00862132	Vitaly Shmatikov
780AD398	Navin Kabra
74B2481D	Marco Roveri
80DCA0A0	Robert E Grimm
7D8B1ECC	Lihsiang Sun
76DCA817	Haitham Akkary
784DC91E	D Gollman
80ACEA91	Jason Flannick
85FD3485	H Harlyn Baker
82AC3A5E	Vijay K Vaishnavi
62CB0DF1	Nina Bhatti
7F4A1B0F	Yan Lindsay Sun
8590A90E	John Ioannidis
7AEDEA7C	Allan Kuchinsky
7D105AE5	Doug Downey
7E70C8B1	Chris Allan
7D49BC4E	Dan Ingalls
404DD313	Marvin A Sirbu
808A53CF	James G Dougherty
7B802601	Luca Forlizzi
7A55D741	James Mammen
0DBBDDCC	Liu
7FFDC977	George Buchanan
806C1F11	Dakai Zhu
7F1FF578	Yuqiang Guan
7CBCCA3A	J E Funderburk
7EFF4C98	R K Agrawal
77F3FA64	Siegfried Handschuh
805F9839	Won Kim
7DD6F0B8	Dean Mcnamee
74A7A738	Sabrina De Capitani Di Vimercati
7C284744	Rohit Ananthakrishna
7CB7F514	Paul Milazzo
7E164497	Alexander Vardy
7A90472D	Muriel Medard
7CFBF82D	Kristin P Bennett
7DB909BA	Tim Bell
78666A92	Giovanni Di Crescenzo
7D7E0866	Mat Cook
7AC05302	Lucian Popa
7C880A04	Minos Garofalakis
7BDD1A88	Grzegorz Malewicz
863C48C4	John T Robinson
7F7978A4	Endre Szemeredi
7DD7F06E	Bret Hull
848B3CCD	Lawrence C Allen
76F5B1B2	Jessica Staddon
27AFEC01	Henry F Korth
84D1E84D	Ari Lazier
7D3BB506	Roberto J Bayardo
7766DF3D	Ondej Bojar
80FAA2A4	Surajit Chaudhuri
7F420F01	Peter Schwarz
81268D1A	Chunho Lee
7EDE78C7	J J Jr Butler
7CFCAFDA	Ralph C Merkle
7D93D96D	Richard Keiser
7B7F4484	Y Le Cun
22424BB0	Irfan Essa
7E262B7C	Jonathan Beaver
7F10C914	R L Sommer
5F9F87DE	Yaakov Tsaig
2AE7B5AF	Scott Shenker
7B995DCC	Ashwin Machanavajjhala
697B67EE	Parameswaran Ramanathan
7FCE5B06	Pattie Maes
13FD3360	Stratis D Viglas
1A41E46C	Justin A Boyan
76C43609	Dennis Fetterly
847C4FE3	Michael Rabinovich
801AD19D	Guangcan Liu
2A2E8E39	Daniel Delling
765DBFC9	Jens Knoop
852E435F	Richard Crouch
6CF3EB43	Ioannis Kapouleas
7DCBA1DC	Nam Sung Kim
7E6B531F	Boris Wolf
7D586D1C	Robert Morris
7EC59BA3	Minkyong Kim
0D1A1BFE	George Karypis
80239462	Garrison W Cottrell
753E54C3	C Unnikrishnan
83E57A20	Jinyung Namkoong
793BCE24	Ralph C Merkle
7D98F008	Wei Han
834433DC	Werner Vogels
80C4E8EC	David S Johnson
8537E90F	Sushant Jain
82BB8124	Himanshu Gupta
7F5650CB	Qing Fang
7594D5F4	Eric J Horvitz
84FD581A	Zhenjie Zhang
7F91262A	Tatsuaki Okamoto
0A061C9C	Gunnar Ratsch
862F660F	U S Chakravarthy
295A153F	Steven P Reiss
7DD7119D	Anind K Dey
8131B7F0	Quang Hieu Vu
84025C95	Andrew Twyman
148A4156	Gaurav Bhalotia
841820E2	Matthew Richardson
19D12B6A	Jeffrey S Kuskin
089E36FB	Pavel Velikhov
192EF72E	Setrag Khoshafian
8120AB0A	T W Williams
81371E73	Jussi Ronkainen
7EB941E9	Edwin Chan
7F0345E1	Reid Simmons
7571C7EA	Eric Horvitz
7E76DE51	Howard R Turtle
801A28FB	Tao Qin
7CE8E9A9	Junsheng Cheng
799CF3F0	Kishore Papineni
7DEE0A7F	Robert Morris
5A6F05F4	Yury Polyanskiy
2350C022	Stephen Deering
7C50EE94	Alex Gammerman
7DEB2826	Georges Gonthier
80C892BC	Russ Cox
74DDE450	Deepak Ganesan
7F1A652F	Jack L Lo
85521C33	John Shen
84A675C9	Dorko
85EE243B	P Roy
75B2DB6B	G D J Forney
7B14BC36	John P Karidis
80F96D29	David Zhang
761C2AB7	Klaus Schild
7F746615	Edmond Boyer
7DDDFF1A	Quoc Vu
8507F86A	Mostafa Ammar
859E47A6	Upamanyu Madhow
81306A4E	Raymond J Mooney
80EF47D4	Parthasarathy Ranganathan
81D1D22B	Shuvendu K Lahiri
8165E681	Richard P Martin
7DECA359	Mark D Hill
299D6E11	Amit P Sheth
853F9FB6	Sanjay Mittal
7F30B09E	Adam Berger
78E40ADD	George Z Chrysos
8450B595	Dieter Fox
80B6D6F3	Carsten Lutz
73208747	Alfredo De Santis
81582A57	Janey C Hoe
7A804BF7	Adrian Schupbach
0D7FD7CE	Bradley C Kuszmaul
7C2D8AAE	Saman Amarasinghe
742F1E4A	Margarita Chli
7DEC6911	Marcus Breunig
84B7FC79	Robert Mcnamara
7E60503D	Weiyi Meng
7E959A7D	Albert Benveniste
0B83AB00	Yonina C Eldar
7A891A53	Roger C Raphael
7D5089AF	Gene H Kim
80451E48	Runfang Zhou
7ED184BA	Andreas Ernst
814760E2	M Castro
83D336FC	Laveen N Kanal
7E65110D	Aaron S Cohen
8427C08F	Paul Teder
84BA2E5B	Don Mccaule
7D20EB74	Mark Luk
2ADEE7A8	Michael Ian Shamos
855AD811	Mark Pauly
7E6C288D	John C Shafer
756F7E4D	Leonardo De Moura
7D882BFE	Andrew Fitzgibbon
19201BBC	Mary Jean Harrold
8620CF3C	Vijay Saraswat
7D753A84	Luis Damas
8595E180	Don Coppersmith
8144FB20	Vijaykrishnan Narayanan
7DA69F56	Michael Tan
0FD2BC3B	Howard Gobioff
2033A8CD	Whitfield Diffie
83AEC88F	Znuowen Tu
84B99E4D	Pat Hanrahan
806F384E	J W Lee
761AD854	G De Veciana
21BA9D0B	Roberto Manduchi
10A00ACB	Gerald Tesauro
782C09BC	Vijay Janapa Reddi
7FEE2013	Martin E Hellman
7D70B8C6	Mukesh Agrawal
7C527ED2	Frederic T Chong
78E4A310	Rudy Setiono
7D9CA94F	Dekang Lin
8113B359	Ada Waichee Fu
8046A0F4	Dafu Deng
816ED7E7	Erika Chin
80988759	Richard J Wallace
7691D8BA	Bernhard Nebel
76F6ED7D	Banu Ozden
8069C4F5	Tenyueng Hsieh
7CDD6830	Henry D Pfister
84840C03	Steven Ariss
7D33EF8B	Pan Hui
812C634F	Michael Wayne Young
75DEB5D4	Michael R Hilliard
83E84990	Hamid Pirahesh
79BB0B06	Kevin W Bowyer
0B213699	Gil Kalai
7F88E4DA	Ilya Mironov
7D4A0472	Brian Cantwell Smith
0D66E626	Mark A Duchaineau
2BA15A11	Julie Marguerite
7750A69B	Kamin Whitehouse
6AECEEE2	Jacob Ziv
84F40B7A	Monica Rogati
786432B3	George Furnas
76948107	Byron Reeves
7B639582	Ahmed Elamawy
84A3F336	William H Sanders
7FDF109F	Geoffrey Brown
7B893A95	Victor Zyuban
01CD679C	Yehuda Lindell
7EB98F1E	Chuang Lin
2C0CC54E	Inderjeet Mani
7BBF9B7B	Mike Sharples
80215313	Stefan Decker
806A7F01	Kazunari Sugiyama
22F368F4	Giansalvatore Mecca
80198D76	Ian Mackinnon
8556D930	Fang Liu
0FC214E1	Richard Kronlandmartinet
14BF323D	Stefanos Kaxiras
7F28717B	Bruce G Buchanan
7B584BE3	A E Klimov
795664ED	Tarak Goradia
78436CF0	David Garlan
03141FD0	Upamanyu Madhow
7D975913	Xuelong Li
07634330	Thomas E Fuja
0E8A7FE3	Swapna A Oundhakar
7A4222EA	Charles U Martel
0B60422D	Marc H Willebeeklemair
7ECCDDA9	A L Levin
7F3C5AEE	Joel L Horowitz
80BF08C9	Chunghung Tsai
7AF8EEC1	Richard Mortier
821C21D0	Robert W Heath
8539324C	Matthew J Beal
79F221A3	Jon Currey
84331B1C	David Kirkpatrick
85C400BA	Jeffrey Scott Vitter
7E6573F1	Yuhua Li
7657F30F	Guodong Zhou
0BE7F1FA	Dennis Volpano
72C4E8D5	Ramakrishna Gummadi
2F95DDDE	Ning Li
7D470804	Hideki Imai
6B260DD4	Thomas Risse
7786B720	Joshua T Goodman
816E1B66	Fabrice Boudot
788211C5	Moshe Guttmann
7F0E20E1	Lori M Kaufman
81D427EB	K P Ramachandran
7F88CDEF	Yuanyuan Yu
7E25796E	V V V Prasad
808791B6	Mark Montague
7CDAB20A	Justin Romberg
7F6A4C8E	Jose H T Nunes
8211366C	David S Rosenblum
7F1201AA	T Fawcett N Mishra
7FF1EEA7	Guoliang Xue
607AD246	Silvio Savarese
7F798D2C	John Blitzer
25A54095	Ariel Orda
7C24F92C	Willem Visser
80FB85EE	Shriram Mahabal Udupa
805C5341	Spyros Potamianos
852D6562	Steven S Pietrobon
86305AA2	Xiaoyuan Wang
7DBAD060	Yeyi Wang
0735C54B	Sanjay Ghemawat
756C154A	Tarek Abdelzaher
7B3AD69E	Alex Aiken
751F95A1	Aaron Hertzmann
7F257E0F	Lihua Yuan
01074096	Laurent Massoulie
809D4D82	S Benford
7E14FC4B	Geming Chiu
8116A2FA	Paul Castro
7F61419C	John Cocke
28365E4D	Victor Markowitz
7FDFD138	Thomas Dean
7F16A2AD	Stephen G Wilson
8089FC85	Adam Bosworth
818767DD	L K
07A98244	Juhani Warsta
2855F722	Natan Cliffer
1250A870	Daniel Billsus
69F6F574	Mohamed Zait
7EF19173	Yuanyuan Tian
7E34B2E6	Richard Kessler
811F6D98	Rob Fergus
84F5D5E2	Efros
280AAE38	Thomas A Finholt
7E665245	Karam Gouda
7D44062A	John Canny
7F03CCA7	Jonathan M Lees
77B7A9E4	Adam Farquhar
7D9079E1	Andreas Zeller
8626CE97	Makoto Yokoo
7DF0280D	Andy Chou
7EA9B3E8	Xuemin Shen
855304EE	J D Tygar
08C27957	Daniel P Siewiorek
7DA9F77E	Robert W Heath
7FB5738C	Krishna Palaniappan
818901BC	P Bollineni
7BC12F8D	D Von Oheimb
79282EA7	Nuwan Jayasena
2BD8281A	David M Goldschlag
7EE6247D	Narendra Ahuja
