0A398D80	Free University of Bozen Bolzano
0B4CEC90	Kansas State University
0653F611	University of Central Florida
0968AECA	Bourns College of Engineering
02292F00	Ieee Computer Society
0467072E	Tera Computer Company
5001790A	Ubisoft Montreal
09B52E07	Tianjin University
099D8475	Institute For Theoretical Computer Science
3333E44B	Virginia Tech
0D52D485	University of Utah
0D109F83	Purdue University
4ECE052B	Booz Allen Hamilton
01328BF3	Princeton University
09B48D0B	Indian Institute of Technology Bombay
348EB203	Nanjing University
0B5CD1C8	Lulea University of Technology
0AD27695	Georgia State University
0C321FC4	Rowland Institute For Science
02B9F572	Codex Corporation
05E904C7	Ntt Docomo
4E7E7781	Dupont
09368EC9	University of California Santa Barbara
34DF872C	University of Amsterdam
040AF21A	Helsinki University of Technology
02AD1047	Mitre Corporation
0A9AAD1D	Federal University of Sao Carlos
0B3FCABE	Vytautas Magnus University
0BF6BC56	Vanderbilt University
4F98606C	Spss Inc
04B999C0	University of Maryland Baltimore County
0C280BFF	Keio University
0C55BCAD	University of Paderborn
0A0E755C	City University of Hong Kong
08A948CC	Johns Hopkins University
07FDF9F9	King Fahd University of Petroleum and Minerals
862ADA3F	Huawei
0CECE932	Ecole Centrale Paris
0532D181	Michigan State University
024C0B9C	Asian Institute of Technology
031FD638	Federal University of Parana
007B93A0	Department of Computer Science University of Illinois At Urbana Champaign
34C77BFA	Hp Labs
01A8C383	University of Michigan
0B8B0D91	Utrecht University
00F87E5D	College of William Mary
00725F06	Idiap Research Institute
0357CA53	University of Tartu
4D50973C	Space Telescope Science Institute
037E5334	Seattle University
0221BC42	Pittsburgh Supercomputing Center
05C86094	Stanford University
4CE6FC2D	Microsoft
05A3DA1F	University of Twente
000138AB	Curie Institute
376D52AD	Royal Ulster Constabulary
0810AAFA	University of Wisconsin Madison
34ED541F	Rwth Aachen University
0B8684B1	National Chi Nan University
04BEE6D7	University of Birmingham
0A575E93	Parc
092FD9CF	University of Auckland
08902028	Research Institute For Advanced Computer Science
0BB91809	Joint Genome Institute
4D1139C8	Ford Motor Company
0C026C79	Mit Sloan School of Management
087E851D	College of The Atlantic
03F265ED	Cadence Design Systems
07D8D616	University of Denver
09D3A574	Lim College
4E191EE9	Citrix Systems
07862589	Queen S University Belfast
0011EAC4	University of Southern California
003E1361	University of Belgrade
03FA8F1E	University of Milano Bicocca
0999D47E	Indian Institutes of Technology
4F1AE805	State University of New York System
0A08EC51	Kyoto Sangyo University
06771A5A	Stevens Institute of Technology
0845F019	Ulster University
070DD774	Australian National University
09E00B69	Sungshin Women S University
8623AC36	Telefonica
0965EC45	University of Liege
09DE2F57	Loyola University Maryland
0489A984	Zhejiang University
07F90283	Interdisciplinary Center For Neural Computation
06F81498	Lattice Semiconductor
0904612E	Cisco Systems Inc
0474BFAF	Texas Instruments
4F2A68A7	Carnegie Learning
0507BBD7	Temple University
03E20219	Hitachi
08702BDB	Hong Kong Baptist University
035F81F4	Monash University
863BFDE1	Facebook
012BCF09	Wright State University
00D4F325	Bar Ilan University
066AF386	Dartmouth College
03D00B37	Massachusetts Institute of Technology
4E286443	Apple Inc
0B003FA6	Georgetown University
4F14D3E8	Americorps Vista
0404AD5B	Lancaster University
056D3FC6	Texas A M University
0A1AB335	University of New Mexico
4F5B50D5	University of Hawaii
0190EC9A	Fx Palo Alto Laboratory
096B160E	University of Richmond
00FF56A8	National Taiwan University
0C37CBAD	Harbin Institute of Technology
088AA042	University of Kentucky
4F10C1EB	French Institute For Research in Computer Science and Automation
093456D7	University of Alberta
06C0EC61	Hiroshima University
07BE273D	Dalhousie University
044C0559	Bell Labs
09F18F79	University of Tampere
4F27ABAA	Sybase
09E0E324	University of Georgia
4D1119E2	Lincoln S Inn
09995E41	University of Freiburg
07BC3356	University of Vienna
0486EC92	Free University of Berlin
0743CD5B	Johannes Kepler University of Linz
4F05DC4B	Yahoo
4DDC5EF5	Mitsubishi
0100E2FE	University of St Andrews
0476D8B7	Marmara University
01B1760F	University of Manchester
4EB83D69	Canon Inc
0B845BA3	University of Trento
009962AC	New Mexico State University
0ACFCEA7	State University of Campinas
0C03398D	Tohoku University
0C3C3D64	Trinity College
0434D6D0	Oberlin College
0088BF3F	National Autonomous University of Mexico
4D0FB79F	Commonwealth Scientific and Industrial Research Organisation
069DA7A7	Sprint Corporation
36A19CD1	Burlington Coat Factory
07434009	The Graduate Center Cuny
01776B6C	University of Massachusetts Amherst
5019D871	Los Alamos National Laboratory
03A194FC	Avaya
4EC16293	National Institute of Standards and Technology
0B3CDF24	University of Colorado Boulder
4CDD5BAE	Bbn Technologies
0B56FA70	University of Innsbruck
0A0D2BAD	University of Calgary
00C50601	Northeastern University
4D0C933D	Toshiba
075CFC38	University of North Texas
4F2861B3	Sun Microsystems
0AC280F8	Copenhagen Business School
0A1C9634	Blaise Pascal University
2BECA4ED	College of Western Idaho
00D956B2	Hong Kong Polytechnic University
04D537E8	Science College
085ADB71	University of Connecticut
04FEF040	University of Genoa
09EA1A37	Queen Mary University of London
08B9DFEF	University of Tsukuba
0B05FE67	University of Oslo
373A6845	Leipzig University
05B090CE	University of California Berkeley
06601420	Florida Institute of Technology
0A41BF9E	College of Science and Technology
002932B0	Pontifical Catholic University of Rio De Janeiro
06D74A38	Software Engineering Institute
0126039E	Qualcomm
037D28F2	Deutsche Telekom
001D0918	Institut Eurecom
0762929E	Pohang University of Science and Technology
0A97E0C1	The Chinese University of Hong Kong
06C2C7BC	Ecole Normale Superieure De Lyon
06D35AFB	New York University Stern School of Business
4E55E3A2	Institut National De La Recherche Agronomique
0754B26A	Istituto Di Scienza E Tecnologie Dell Informazione
0839CEE3	University of Arizona
004CA7A3	Mcgill University
038CB6F6	Stony Brook University
0C33EF81	University of Paris
0EFC6DD1	University of Girona
026020B1	Mitsubishi Electric
077EC9E4	University of Western Ontario
03839B48	Case Western Reserve University
03FD8454	University of Maryland College Park
022F9467	Courant Institute of Mathematical Sciences
06CD3667	Leibniz University of Hanover
0228EE3C	Swedish Institute of Computer Science
00A3C9C2	Akamai Technologies
05B3DFF1	Universite Catholique De Louvain
35999274	Fruit of Islam
039AFB05	Middlesex University
0A9EA77E	Southern Methodist University
0661DECB	Worcester Polytechnic Institute
0AC9113B	Illinois Institute of Technology
01109E6D	University of Toulouse
4E47B81B	Russian Academy of Sciences
0C4DDE77	Nec Corporation of America
4DE595E9	Cybercast News Service
03FC3F40	Chalmers University of Technology
04EDE9AE	Lear Corporation
4C75849B	Tektronix
0388650E	Indian Institute of Science
01AFAF1B	University of Surrey
0112E226	Simon Fraser University
4CCB3E34	Technological University Kalay
0AE9651A	Shanghai Jiao Tong University
04F2C66A	Eindhoven University of Technology
335ED749	Sapienza University of Rome
04B1BEA6	University of Newcastle
0B09F358	Mitsubishi Electric Research Laboratories
017F2ECE	Federal University of Pernambuco
070A9F1F	General Motors
045716B5	Drexel University
0BC7337B	National Research Council
09655E51	California State University Northridge
4E3254D7	Advanced Micro Devices
084F654D	Trusted Information Systems
075ABF1F	Uppsala University
0027E0B8	University of South Florida
077F8F10	Ericsson Radio Systems
07427AD9	Leiden University
09E1988B	University of Melbourne
0815134D	Kyushu University
08BA2180	University of Kansas
028389E0	Language Computer Corporation
08F7F83A	Emory University
4D4B6A15	New York State Department of Environmental Conservation
06EB0D45	University of Rome Tor Vergata
4EDB9E68	Drug Enforcement Administration
0527E2AB	Monroe Community College
0243A2DA	Guangzhou University
0742D5C5	Louisiana State University
01E46A0B	University of New South Wales
085C9D9D	Technical University of Kenya
062D596B	University of California Riverside
070DED1B	Depaul University
074492CB	Institute of Mathematics
06CBEAA9	University of North Carolina At Chapel Hill
01A842AA	Brown University
0C2FE58D	Washington University in St Louis
02191A3B	Faculty of Information Technology University Demal Bijedic of Mostar
008F0AD9	Ottawa University
4FB60B96	Luxtera
07668367	Conservatoire National Des Arts Et Metiers
01A5BDF7	Northeastern Illinois University
0B8BA2BB	Tilburg University
02066FCD	Xerox
02924052	Information and Communications University
00243975	Max Planck Institute For Software Systems
04AF010A	Columbia University
0AD3D01F	San Diego Supercomputer Center
0267A61E	University of Chicago
4DBAC46F	Nvidia
0BF79DFE	National and Kapodistrian University of Athens
4D56FE9E	University of North Carolina System
045D80B8	Wheaton College
0875EA92	University of British Columbia
08117FD8	New York Institute of Technology
4E2EC568	Amazon Com
0547A11C	La Poste
061A86E7	University of Arkansas At Little Rock
4D634C00	Sri International
01124466	University of Sao Paulo
004B1FBC	Fraunhofer Society
0BF77E37	Hong Kong University of Science and Technology
07F892EC	University of Helsinki
4DDC0B9D	Goddard Space Flight Center
09E1E653	Rensselaer Polytechnic Institute
012E6F4E	Chinese Academy of Sciences
09B136B8	University of Sussex
4C462F03	Artificial Intelligence Center
099D876D	University of California Los Angeles
017889A7	Indian Institute of Technology Madras
050513B0	University of California Davis
0C4400FF	Cornell University
01E3E4AD	Agere Systems
061B6EC0	Marquette University
07874D3C	University of Iowa
0C01DCFD	University of Washington
04BE3F72	University of Pennsylvania
0368D319	University of Lugano
045D3373	Language Technologies Institute
0AF6A309	King S College London
03CD1843	Florida Atlantic University
03369A6C	Technische Hochschule
04946B1E	University of Missouri
0A9418E0	Polytechnic University of Turin
090B77B3	University of Waterloo
0153C041	National Central University
0A63B3A3	Technion Israel Institute of Technology
4CD84994	Oak Ridge National Laboratory
013FBDE4	Mit Lincoln Laboratory
0975B154	Chulalongkorn University
08EAA2CB	Xidian University
4E718DAA	Linkedin
056A2A0B	University of Franche Comte
069F11AE	Boston University
4C6B6145	Argonne National Laboratory
4C5370B9	Ames Research Center
4D2B1EE6	Centre National De La Recherche Scientifique
01F71AD0	Yale University
0B08755E	University of California Santa Cruz
0B46561F	University of Milan
0527EA39	University of Delaware
034F36C0	Department of Engineering Science University of Oxford
042826F4	Tokyo Metropolitan University
04BD5400	University of Louisiana At Lafayette
09490884	University of South Carolina
09B0BBA7	University of Texas At Dallas
0B0DA3DC	Wayne State University
087CE01A	Electronics and Telecommunications Research Institute
092C7553	Nortel
07C34834	University of Minnesota
86366AC3	Nippon Telegraph and Telephone
0A8FBBC7	Sun Microsystems Laboratories
02DB0F2D	Vmware
0C2AE079	Open University
00090A43	Indiana University
03C0079C	Technische Universitat Munchen
0787E01C	Portland State University
0ABDAF90	Yokohama National University
0BCEDAAB	Kasetsart University
0133076F	Bielefeld University
0049DC81	Toyota Technological Institute
04EAD036	Auburn University
092F5EFF	Shandong University
0368E8BE	New York University
4F3BE6AD	Philips
4CF99586	Google
0079454A	University of Maine
0A25A483	University of South Australia
0C2C9DD2	University of California Irvine
0092C1B8	Polytechnic University of Catalonia
005237C4	University of Rochester
028E8644	Nicta
0BCDC3AB	Wentworth Institute of Technology
4E6D7CF9	Data Domain
081E3F30	Harvard University
05DCD65A	Delft University of Technology
05E740A3	Mississippi State University
0AD3BA36	University of Strathclyde
02D4EDF8	Imperial College London
04F1BEA5	Rmit University
4ECD74BC	Alcatel Lucent
012C9CDF	Florida International University
0B4EC93C	University of Konstanz
05E5F910	Ogi School of Science and Engineering
0B185497	Lehigh University
07B99BFA	University of Sydney
043B1E1B	Syracuse University
0172E187	Suffolk University
0352694C	Arizona State University
05F5F76A	Brigham Young University
0372589D	University of Neuchtel
0B546E88	Durham University
0C286E79	Blue Martini Software
4F8CCD61	Jet Propulsion Laboratory
0AC1438B	University of Bremen
0134B592	Peking University
04F353DF	Robotics Institute
05EDB3A0	Katholieke Universiteit Leuven
08EF72DE	Kent State University
032470B7	Blekinge Institute of Technology
0B0338EC	Information Sciences Institute
05364FE4	Xi An Jiaotong University
03528CBA	Technical University of Crete
03959311	Nagoya University
080E155C	University of Bonn
0B2D8123	Lund University
0312B01D	University of Virginia
08802AB2	University of Crete
066B7DC3	Roskilde University
08BDCA25	University of Liverpool
341E1277	National University of La Plata
08D69EB4	Lawrence Berkeley National Laboratory
0B78A057	Sandia National Laboratories
007D2F41	Ludwig Maximilian University of Munich
0003B055	University of Cambridge
043A55FE	Universite De Montreal
02B911E0	Ecole Polytechnique De Montreal
07634566	Binghamton University
086E5DD5	Monmouth University
07CA5884	Georgia Institute of Technology
013A0DA1	University of Kent
0582A04E	Colorado State University
4F1B5685	Decode Genetics
01F1D439	University of Saskatchewan
09989277	Queensland University of Technology
4E8AC000	West
08B17323	Vienna University of Technology
0BC09FA0	Brics
0C2DEF79	Aarhus University
0B890E85	George Washington University
0296D744	University of Southampton
0ACFF857	American University
4D7B21FB	Serc Reliability Corporation
0CA4B187	University of Victoria
0A10A938	Bilkent University
02BC2BCD	Willow Garage
070DD5D4	Nec
07CC4A10	University of Leeds
0127901A	Orange S A
0A990BE9	University of Mannheim
01FACAD8	University of Florida
05E1B1D9	University of Edinburgh
00FA1C18	Tel Aviv University
025F5CB1	Pierre and Marie Curie University
095B60F6	Jordan University of Science and Technology
07CB626B	Pennsylvania State University
04866877	Nara Institute of Science and Technology
08EDE3C2	Institute of Psychology
021CC5D8	Eth Zurich
351E811C	Aalborg University
0B0ADEB6	University of Toronto
0B8CC95E	Yonsei University
0389C918	Instituto Politecnico Nacional
0A1AFB6C	The Aerospace Corporation
070A58AF	New Jersey Institute of Technology
03376F29	Weizmann Institute of Science
050BB43F	Academia Sinica
4FF45383	Ibm
500F4F9C	Intel
0BC1D058	Hebrew University of Jerusalem
0B0E659A	University of Canterbury
067F47EA	Telcordia Technologies
0ACD6604	University of Oregon
068E815A	University of Essex
06041575	University College Dublin
339CD1B3	Vu University Amsterdam
4D1FB58D	Emc Corporation
03669064	Rockwell Automation
35238AAD	Daimler Ag
06918666	Universidade Federal De Minas Gerais
4E13CA1C	Sarnoff Corporation
0966B229	University of Illinois At Urbana Champaign
04B01E55	Dresden University of Technology
34F273FD	Institute of Company Secretaries of India
0A5DAC76	Iowa State University
09998A84	University of New Hampshire
05397CB8	Vtt Technical Research Centre of Finland
0BF48E84	Hrl Laboratories
4DDD26E0	Ericsson
07D2B6B9	Oregon State University
0C33D1B1	Queen S University
07793CF2	Sra International
028F2298	Dublin City University
07DAEA4C	Seagate Technology
01C3C549	Ecole Normale Superieure
02D828C1	Huazhong University of Science and Technology
0474FB72	Rice University
09E3EE34	National University of Singapore
0229448F	University of California San Diego
04FD6759	University of Michigan School of Information
007B4591	Clemson University
035786DA	University of Rennes
350410CF	University of Hong Kong
0B78A521	York University
0AC8DC36	Computer Laboratory University of Cambridge
01EF6A99	Merrill Lynch
4CE326AE	Goodyear Aerospace
09DC92C5	Indiana University Bloomington
07681456	Oxford Brookes University
0A9A3087	University of Western Australia
4D71CB46	National Institutes of Health
4F4B7F14	United States Department of Defense
4F076E00	Siemens
4FFD5378	Panasas
340818D0	University of Winnipeg
4EF77785	Hewlett Packard
05DBB954	Osaka University
025B3E2B	Gwangju Institute of Science and Technology
0159FE4E	Williams College
099C0285	Steel Authority of India
017C99DB	Fudan University
02B554FC	University of Texas At San Antonio
0228E4F2	University of Bristol
02AA1FA9	University of Science and Technology Sana A
4CC89935	United States Naval Research Laboratory
052F5108	Royal Institute of Technology
07679147	Ben Gurion University of The Negev
08EF476D	Max Planck Society
0BC2EB17	University of Mainz
09B2D407	George Mason University
03BF901A	Federal University of Amazonas
02C1AEE3	University of Manitoba
05776AD7	Saarland University
0259891E	University of Illinois At Chicago
4F6FF56A	General Electric
04C1EC81	University of Guelph
4C7A9B63	At T
0A4ACFBD	Nanyang Technological University
078A8AE9	University of Science and Technology of China
