75D11493	Gerard Verfaillie
80BC1E8A	Yong Woo Lee
26CD4D9C	Alexei Ashikhmin
7DD0E3D6	Lei Chen
7E70A12A	Francis Bach
7889E9F8	Thierry Turletti
7B3094F5	David Vallet
7FDBDB84	Yu Zheng
751AC7B7	Martin Arlitt
0F747C23	Adolfy Hoisie
0A8BE104	Elizabeth M Belding
85000BEA	L Douglas Baker
7E28BA80	Hsinchou Chi
28B411E8	Luca Console
779153B9	T Faucett
70D46DEC	Eric Jul
82544036	E Douglas Jensen
7CCEBFE2	Srinivasan Seshan
10098F39	Charles Steinfield
7E80B9BB	Mingsyan Chen
49BB0869	Eric Foxlin
7A29DBAA	Daniel Kifer
C6E14417	Yang Zhang
81475CF4	David A Nichols
75BF98B8	Jyrki Kivinen
11880E3B	Rina Dechter
7DDE00DB	Reed Little
74DA4751	Alfred Inselberg
7F30B09E	Adam Berger
81C51A2A	Jakob Eriksson
C547BD5A	Hong Ren
7D655A9B	Kevin Beyer
7F2DCDE1	Thomer M Gil
704A7333	Marcel Waldvogel
7DB8425A	Dong Lin
78EA047C	Ronaldo C Prati
7655A6CD	Vladimir Kolmogorov
7FCC8DB8	De Kleer
7EE4D969	Ranveer Chandra
091D4DF1	Tomasz Imielinski
8003BF52	Heungyeung Shum
816BE8EB	Helen Pinto
292594D0	Keith A Lantz
81578F94	Hugh Beyer
7EA1EDC1	Shuyao Chien
8521708A	A Gupta
7C880A04	Minos Garofalakis
7E144DA3	Tiziano Villa
7ECA0892	Xiaoyun Wang
7E5C7A57	Steven K Reinhardt
12CE3F5D	Charles R Standridge
805FBAEC	Edward J Coyle
7750A69B	Kamin Whitehouse
7D5EE09E	Nicholas Roy
48205F1C	Andy Ozment
7DF814AA	Chohuak Teh
79F2B063	Henry A Rowley
7EBDE1C0	Peter Bergstrom
806FA7D7	Timothy J Shepard
053AF322	Holger H Hoos
79D52A33	Steven D Gribble
78CAC8A5	Avinash Sridharan
756D5165	Andrei Broder
80955309	Richard Hull
82923BD1	Joo Pereira
77697EC8	Fang Zhao
7DD6C7AD	Parthasarathy Ranganathan
059216FE	Ramesh Nallapati
8132DC52	Nobuaki Miyakawa
783EF64D	Craig H Labovitz
7A264808	Manfred K Warmuth
7EA331C0	Jose M Castano
0989E2F6	Thomas G Dietterich
80E778D1	Murdoch James Gabbay
7E53EB65	Tom Drummond
814598F7	Xiaotie Deng
0BC1BF50	Thomas Ristenpart
7C317A64	A K Noulas
7B6A79E9	R Manmatha
7EFC1696	David Clarke
7DE0DD1A	Wuchang Feng
81646EB9	Ron Ho
7877F6A6	Thomas A Henzinger
7EBBD0FC	Mark A Hall
80AA248A	John B Carroll
7EA595EC	Somesh Jha
1252CECA	Karl Koscher
28A2D12B	Michael Pittarelli
7EBD8601	Cainicolas Ziegler
7E959A7D	Albert Benveniste
7EA68E73	Ning Cai
7FD58F30	Peter Walley
763941EB	Tova Milo
847A312E	Bharath Sriram
83036910	Yuan Wang
80D5D4DF	Susanne Wetzel
7D8179AD	Qiming Chen
78FFF358	Rudiger Westermann
7E5F12C9	Carla Schlatter Ellis
789E17A6	Mark Dredze
783361E9	Leonardo Mariani
80D59A1D	Sally A Goldman
785288C9	Allan Kuchinsky
7F55BAEF	Ali Rahimi
7B5D255E	Seth Hallem
80366611	Bent Thomsen
7F0F3D52	Benjamin Packer
6A08E7EE	Alon Itai
76D08766	Tanzeem Choudhury
7DB6A72C	Yu Chen
21F22FDF	David Alderson
7D494D61	Alvaro E Monge
84AD2912	Perona
7FF7B34F	Dana Ron
6209B436	John Detreville
80BDAEA9	Joel Baxter
8155566F	Ramine Nikoukhah
788B7D6D	Vladimir Vapnik
7D9A9CE6	Milo M K Martin
7EAA12C0	Indra Widjaja
7F2C28FA	Sidharth Jaggi
10F20C34	Andreas S Weigend
0844F281	Johannes Blomer
7644AA39	J Seghers
768FB7B1	Susan Hohenberger
7EDAF3D5	Abhijit A Patil
813B0457	David Becker
80985185	Feiyue Wang
79451270	Oleg Sheyner
75F7383E	Alexander Rasin
7F0BFB70	Hairong Qi
80DCA0A0	Robert E Grimm
7E9466F2	Daxin Jiang
7E43F5FD	C K Chow
7D5C6E8C	Frans Coetzee
131B713C	Brian T Bartell
7C933F3F	J S Goldstein
7DCF5CE3	Raymond Ng
7EDB7A9A	Joel E Richardson
85195032	Adi Shamir
85D68BD6	Ilan Horn
772BB923	Paul Over
82DBCE2C	Sudarshan S Chawathe
7FBB2535	Timothy G Griffin
02C79120	Tom Lookabaugh
7D441A9B	Mokhtar Kandil
00912FED	Mike Wawrzoniak
8511F6B7	P Rodriguez Rodriguez
8441CF00	Richard Steiger
0AF453ED	Vaduvur Bharghavan
0D96237C	Brian J Rosmaita
080F4449	John R Douceur
7A932530	Janos Komlos
76FAC878	J Greg Morrisett
852A6A31	Llew Mason
84BA820C	Jeanchrysotome Bolot
8560C33B	Makoto Kubo
7D75E422	Shimon Ullman
712B3A84	Peter Mork
750B1C96	Matteo Frigo
7BE48D58	Jayant Madhavan
84E14735	P M Melliarsmith
77E6D65B	Andrew Nealen
816A22EC	Stephen N Freund
8078F3D1	Cullen Schaffer
718A4E73	Theo Haerder
77CCE46F	Ingrid Daubechies
7D26DEA6	John R Frederiksen
7CEBA3F3	Yukwong Kwok
84EE704A	Chandra Chekuri
7F8F16AE	Douglas Walton
8457AD33	James C Beck
807ACFC8	Michael A Collins
1017A863	Eli Shechtman
804EB92D	Injong Rhee
7D82FAE8	Glenn Fung
7768332C	Kurt Keutzer
84E1225D	Sangdone Kim Kim
80212B8C	Matt Welsh
805C5341	Spyros Potamianos
80ED1B01	H Luo
7D014592	Eduardo Laureano
7604D4FF	Huma Lodhi
1549D07A	T Owen Omalley
75C6CE65	Renato Pajarola
80C0FE4A	Jianfei Zhu
7DDDA696	James T Kwok
777022ED	P Griffiths Selinger
6F380BE2	Konstantinos Mavromatis
76EBEB40	Ryszard S Michalski
7F6E67CC	James Scott
7A046857	Daniela Florescu
7E8AFFF0	Chen Lee
7E7C4E15	Manli Zhu
7DB09B70	Dongping Fang
7FCAA736	John Doyle
7ED5A373	James E Pitkow
7E45E5A8	Craig Boutilier
487DBF9D	Ilya Muchnik
774958B5	Anand Rajaraman
76166AAD	Ellen Isaacs
7E4A5CFE	Ernesto Damiani
7D468527	S Savage
7D5EB7EC	Richard Schwartz
8092A8AC	Antonio Torralba
140F2055	Shubha Kadambe
7F91262A	Tatsuaki Okamoto
7FEE671D	Kai Chen
7ED71A19	Peter J Olver
8579D8AA	Kobus Barnard
7CB20E21	Thomas Hofmann
7DDDFF1A	Quoc Vu
86231C8E	Charles P Elkan
79714738	Beng Chin Ooi
7D06C105	Parveen Patel
7D86BF76	Hyunjin Lee
7DEBB0CB	Alex C Snoeren
81626EE3	Sven Apel
8002DB7C	Amir F Dana
8088AF38	Jelena Kovacevic
7D435B23	Masatoshi Yoshikawa
7F8EA5E4	Carver A Mead
804D8FEC	George Kurian
7C562E92	Shravan Rayanchu
7F280CF6	Haiming Liu
7D7EA430	Changshui Zhang
089E36FB	Pavel Velikhov
7EDD7006	Ruigang Yang
7A543A42	Carlo Tomasi
7D54B92D	Zhendong Su
79B37948	R Clinton Whaley
052527E6	Iliano Cervesato
804CB442	Bernhard Plattner
7F846154	Jiye Liang
7F312CE8	Daniel Romero
75EA3FB7	Paul Ammann
7BB4E372	Stelios Sidiroglou
8013B1E9	Sanjay Kamat
7F52CA74	Waitian Tan
2BD4F026	Kevin Elphinstone
7F358FFD	Josh D Cohen
787055C5	Harrick Vin
838C82B0	Bashar Nuseibeh
7926E502	Sriram R Vangal
7E7E8333	Hai Tao
7FEE7CA3	Charu C Aggarwal
81CD927D	H A Loeliger
6D0BB05A	Joshua S Hodas
12496D58	Yannis Kotidis
7FBA8EE4	M E Wolf
76DA59C0	Nevin Kirman
83D336FC	Laveen N Kanal
854CA0C6	Bernard Manderick
801218DB	John R Anderson
8273983A	Thomas J Anderson
78D3F0D1	Marc Najork
7F2BEE14	Ramesh R Rao
7A131496	William H Winsborough
02384EEE	David Hawking
84D8E4E3	Torralba
81757D64	William Alexander
8151BEA2	Won Suk Lee
7DBCC69F	Zang Li
7A92CFC6	Sushil Jajodia
7F2B7AF8	Anna Bouch
7EA2C6BE	John Hennessy
7A6F42EB	David Salesin
7A8F3DBE	Patrick Mcdaniel
7E808425	Thomas L Griffiths
80DC8F3F	Parke Godfrey
147AC466	Stefano Soatto
7FBA9A2F	Mike Upton
82CD12F0	Jimmy Homan Lee
80A062FE	David H D Warren
78A0BC3F	Yuri M Shtarkov
8117967F	Vincent Chu
80B139AD	Thomas R Anderson
7CCB96AD	Avi Silberschatz
7BE7790A	Paul Barford
7FAC8CC1	Chumki Basu
4898FD0C	Paolo Ciaccia
7FFBF9A9	Andrew J Ko
801A28FB	Tao Qin
7F156EDA	Owen Rambow
66C2FE54	Mokhtar Amalou
75BD26E8	Alexis Battle
0F8D1F0A	Anthony R Cassandra
2B245056	James F Blinn
767404A7	Kristin Lauter
7F01DE40	Shaheen Fatima
0B83AB00	Yonina C Eldar
04D169D1	Avi Widgerson
80839CD7	Marta Kwiatkowska
7E720E7D	Alexander C Berg
7FF9CAFC	Charles S Kline
7EC6D943	Steve Lawrence
7B877790	D Christopher Dryer
81CE15B9	Seema Gupta
7AF08014	Joseph Goguen
0B7B5C7B	Ramesh Subramonian
811F7C36	Michael Hamilton
7591D0ED	Allen Newell
18CD4174	Mahadev Satyanarayanan
840BE4CA	Xin Dong
7B85435A	Katrina Ligett
7E4E5BF7	Carlos E Scheidegger
80DEF27C	Michiharu Kudo
84D5FB06	Magnus Alexandersson
82163D12	Jonathan K Millen
82C020DD	Michael M Skolnick
85BD0691	Amir Roth
80267000	David J Moore
7D9C865C	Cheng Huang
4566B736	Amir Evenchik
7DAFD6B0	Satish Rao
7AE1AA29	Robert Wahbe
829FCF40	Stephen Kelley
7E01A7CD	Bing Pan
7F3E1CDF	Steven M Seitz
8552B242	Tim Roughgarden
2F62C24C	Ramesh R Sarukkai
7D3E223E	Sage A Weil
7B40AAC5	Juan F Ramil
82B4D079	Michael Heilman
8041A28F	Colby Ranger
81114402	Dongkook Park
7C3BB95A	Charanjit S Jutla
7BFFF060	John Apostolopoulos
79AEDC28	Gilles Brassard
812C634F	Michael Wayne Young
792C4AC5	David Steere
803CEB05	Konrad Schindler
777FAB1B	Moshe Blank
852CBE56	Mitsutoshi Hatori
7AE192A3	Ron Sivan
14BF323D	Stefanos Kaxiras
7E828489	Prabhakar Goel
106933FA	Gordon Kindlmann
84AF1AD4	Rebecca Watson
7D400CEA	Heather Zheng
80C8793E	Dieter Koller
799CF3F0	Kishore Papineni
7CFAF525	Patrik Simons
78E29F5D	Carlo Zaniolo
591891B8	Frederick R Reiss
6E761DFD	Daniel Marcu
7A49F117	Mike Dahlin
810B7463	C Y Wong
0B9370B1	Dina Katabi
7509CCA4	Hugo Larochelle
68275563	Daniel Stodolsky
86213761	Jeonghoon Mo
73E69747	Adam Silberstein
06C8A61E	Matthias Felleisen
798E5B58	Barbara Poblete
7E02F7FE	John H Hartman
0730FDDA	John V Guttag
7FD0987F	Sangeetha Seshadri
7BE4B9B6	S Muthukrishnan
147A0693	Martin Rinard
8573CE8E	Bruce D Fritchman
806B5A34	Steven Shafer
7F72362A	Szutsung Cheng
7E77CE85	Biao Chen
1492680A	Michael Sipser
862088D8	Martin R Frank
7F3C6869	Theodore Johnson
85C50405	Chun Zhang
788CDDB6	Atul Adya
18922FBC	W Timothy Strayer
7CEF958B	Keir Fraser
80AE18BB	Zejian Yuan
8621B284	C N Liu
7F79FF4D	Lance C Perez
849CCEA6	Keiji Yamada
83F80B10	Armando Fox
58572EA8	Rafail Ostrovsky
7F678FBA	Marc K Smith
767B3EBA	Satoshi Morinaga
6D67F1BA	Dario D Salvucci
81301C88	Qi Zhang
75B05675	Philip Hugenholtz
26ED5794	Silvio Micali
756D95C7	Alan H Barr
7FAE0A34	Sakti P Ghosh
0D1A2EC2	Edward H Adelson
499D5D3E	Leon Poutievski
803C4EDF	Lo Yuen Yee
9CA19808	Feng Shao
49D5E254	Ian Wakeman
24D0E6BA	Zoubin Ghahramani
76C938A6	George W Dunlap
7B52B078	Navin Budhiraja
7B45B69B	Jeanclaude Laprie
7DAED7ED	Hana Shepherd
793344FC	Inderjit S Dhillon
7F1FF578	Yuqiang Guan
131ACF1A	Oliver Westmancott
80985301	David Brumley
80BDF7D1	Amit Sahai
80785377	Paul A Martin
7E3E0A76	Christine Moran
561AE2A4	Kenji Yamanishi
2824A251	Prachi N Thakar
12CF01DA	Philip J Woest
2A312CA2	Peter Reutemann
82BB3AFD	Sameer Tilak
806720F5	Vincent D Park
771907EE	David J Heeger
12CCA4DD	William H R Equitz
7B1A02BE	Nadav Harel
7F191718	Zhenghua Fu
854FB475	Jude A Rivers
0F5F6500	Vasileios Hatzivassiloglou
7D6DD77A	Edward A Lee
7B6ABF57	Dale Skeen
7AFEF215	Ivona Kucerova
863DE3F1	R D Bentley
8092F547	Michael J Carey
2988714B	Mohamed F Mokbel
71CE7B36	Andrew R Barron
7F7B0A59	Christopher P Firth
7D43F8E4	Markus Michels
7A7A4C3D	Dick Epema
84B65AC8	Ben Verghese
86351A26	Nicolas Pasquier
80EEE8E8	Frances Yao
8317767F	Anirvan Mayukh Sengupta
7EDCB657	Mirek Riedewald
7A7430DC	Daniel T Schuh
76B89527	Thomas Fahringer
764EFD1C	Kristof Van Laerhoven
751EAC17	Kevin Fu
7DEA9180	Carsten Willems
8567A8B7	Mani B Srivastava
7EAC0377	Brent Chun
7EAF246D	David E Smith
6E3F11B9	Peter L Bartlett
48018A3B	Xin Deng
02E1D98B	Jon G Riecke
8036FCA7	George G Harman
7D655793	Juliana Freire
544DD85A	Gabriel Curio
802AD5D2	Gilbert G Walter
7E48CF9D	Steven P Wallace
7A3CF86A	Geoff Lowney
7D587B4F	Yutaka Matsuo
143CBC02	Ilya Abyzov
801FE869	Yun Fu
77F4D615	David R Karger
82D4D34D	Herbert Gish
7D3CE494	Abderrahmane Aggoun
7E559274	Marc Abrams
7D6063D9	Hiral Shah
7D182F8B	Armin B Cremers
7E7C561E	Sukru Cinar
81600082	Benjamin Livshits
7C692FB6	Nick Cercone
7D4A046C	Yangqing Jia
802E2C91	Phan Minh Dung
7FA88451	Adrian Segall
8081912C	Benjamin Zhu
863E7E56	Joel Emer
77E86A6A	Xiaohu Shang
82DD6C48	K W Lee
813426E4	Paul V Gratz
7F509EC3	David Madigan
812C2B9A	A E Brouwer
781AC471	Karin Kipper
7E575696	Tzyyping Jung
0814E2F6	Georgios Tziritas
0D19F9F4	Stephen S Intille
8098E2A6	Xiaofei He
844688EE	Belle Tseng
855798DA	J D Tygar
7A1FCC43	Eyhab Almasri
76D115CF	Jeanna M Neefe
85376E2F	F K Zadeck
7D183AAA	David A Edwards
7ED4AC24	Yunghsiang S Han
81A3A4B8	Trevor Darrell
81B09D26	Sameer Agarwal
7D3D9E8D	M A Lopez
76D5B5B0	Daniel Gaticaperez
8481BAA8	Rasheed
7D692F97	Xiaodong Wang
7F9359C6	Adam Greenfield
7D51917B	Tony X Han
80F9594F	Jeanjacques Fuchs
78456EF6	James P Callan
7DEBB2A0	Jun Wang
7DAF50FC	Seth Copen Goldstein
80C6DE2A	Reynold Xin
79304DB5	Victor Zyuban
7BF35DDA	Simonas Saltenis
7F380D57	Vicent Caselles
7D0560CF	Vin De Silva
813052EE	Stephen T Barnard
7D1C2784	Helfried Neumann
77D6A034	Themis Palpanas
4B599EA8	Andrew A Chien
8148E2AE	Pei Cao
7E4A9B5D	Murali Sundar
766B14CE	Steven W Zucker
7F8EB0C8	Mehul A Shah
7936BF18	William Landi
158219C6	Carlo Strapparava
8218DD21	Stefan Decker
79B73115	Olivier Bousquet
10C214D3	Andre Elisseeff
8502E1DB	Xingang Guo
7E2B5BD0	Gerald Cermak
1B6344C0	Ronald Prescott Loui
83DCCE1F	Fang Yu
8390369E	Robert D Blumofe
14A9BA4A	Ubbo Visser
7B4C4903	Ueli Maurer
863C878E	James R Goodman
7F18B556	Quanzhong Li
79408DB5	Rich Caruana
8634DE30	Todd Mowry
110E8BB1	John Koutsias
823E6F6A	Paul Havlak
7AF932AF	Max Metral
7DCEBAB9	Kai Hwang
28529322	Susan T Dumais
7F021684	Michael Wooldridge
01870B8B	Murali Kodialam
7D14E263	Kathleen M Carley
02F822A6	David Monniaux
7CFCE0FB	Diane S Srivastava
08914FF3	George Jongren
7E53AD9D	A Chandra
7FA830F3	Zhouchen Lin
8205BE07	Richard L Sites
7DD26796	Niraj K Jha
7DFF183D	Xiaodan Song
771BCFF1	Constantine Papageorgiou
7A29B25D	Debra Hensgen
7BFF4703	Regina Barzilay
775F6EA2	Amol Deshpande
84AFA658	Boykov
8089AA7C	Simon Sheu
7F7E8101	Zongwei Zhou
1BBDD3AC	Gene Tsudik
115EE117	Theodoros Salonidis
7B55CFC9	Katsuyuki Sakuma
76D2E8B7	Gabriel Robins
5E380E91	Daniel Weinland
7E832165	Terry Koo
75D4FAA2	Roger A Bringmann
7FF74265	Shivendra S Panwar
7DCAE87F	Karl N Levitt
7868DCD6	Peter Buneman
852F62BE	Tommi S Jaakkola
817A8F86	Masoud Sharif
7EE55C5B	Minsu Kim
5D148440	A Shokrollah
0FBC3DC6	Charless C Fowlkes
80C9274E	P A Hart
8003D90F	Naonori Ueda
84A1B79E	Masahiro Morita
81C5C93F	Klaus Schmid
782C7C4D	Pedro Domingos
053BB140	Tomas Mikolov
762473DA	Nurcan Yuruk
7AE7292F	Mitesh Suchak
7EA5A40E	Ross Whitaker
7DCD849D	Huib De Ridder
7F70B290	Venkata Sreekanth Annapureddy
7F95B2ED	Matthew S Levine
1538CBB6	Leonidas J Guibas
7C6C093B	M B Clowes
6FA63B64	Matthai Philipose
810F9C5A	Sanjiv Kumar
8160B31D	Brian Lee
7B14BC36	John P Karidis
77A72E60	Tom Fawcett
809927E1	Peter Fischer
7DB6E4C5	Ashutosh Rege
7D2E3C67	Cristian Constantinescu
7263AD95	Hanspeter Kriegel
80859B97	Liang He
7E8ED46C	Joseph F Mccarthy
7ED3F879	Steven H Simon
7C22154F	Gerard J Holzmann
7E59159B	Sue B Moon
2B7B2A0E	Philip Levis
8140EF96	Hyesoon Kim
7D9B2B75	Antonio Gonzalez
28BAEE08	Greg Morrisett
22F368F4	Giansalvatore Mecca
7E89C5CF	Mary Baker
81194884	Mohammed J Zaki
0477DF6D	Wessel Kraaij
80EED882	Ken Thompson
7B79921C	Sergio Flesca
7D51526C	Al Mamunur Rashid
82EAF9FD	Son Dao
76B2F65F	Richard O Lamaire
0C220288	Israel Bardavid
3136F01E	Josef Sivic
84F8A96A	C Kaya Koc
8170A6CC	B C Lee
81426CD1	Mark Sanderson
80F4E633	Rolf Neugebauer
1496E2BC	Catriel Beeri
593E6E47	Brian M Oki
801CF79E	Sanjay J Patel
79F7726C	Nabil I Hachem
17639068	Cheng Jin
77B406E1	Sagit Zohar
7F428644	Julian Tibble
7F981600	Y Thomas Hou
7EF49059	Ron Papka
4802CF8D	Joxan Jaffar
733A793E	Kyuyoung Whang
80E8D83F	Changhung Yu
7F4FD0E3	Martin Anthony
7F20BD13	Jeffrey Considine
817A42B9	Josh Broch
779B164A	Sharon Oviatt
767015B9	Alex Pilchin
7F88E4DA	Ilya Mironov
7EC1C3F7	David Zhang
7E6B4B5A	Fred Homewood
7E0E01E9	Eliot Flannery
79B3233C	Dexter Kozen
7F60946D	Xia Zhou
7D055058	Chenxi Zhu
0F73D435	Nicolo Cesabianchi
7EAA8442	Philip S Yu
7D44AF94	Daniel Koller
7F51230C	Yi Shang
622A12BA	Yannick Chevalier
0341DE85	Bianca Zadrozny
7E8FA339	Mary Jane Irwin
7DF81490	Jaehong Kim
7D9CA94F	Dekang Lin
7D986F9C	Stephen Boyd
7E161311	Wonjong Rhee
80444D6B	Terence Tao
76A4AFD4	Anantha P Chandrakasan
861F0BD9	Jeanjacques Quisquater
80BD0C05	Martin J Mckeown
7D20EB74	Mark Luk
8639D78C	Michael Collins
76473E4B	Bertrand M Hochwald
7DA25852	Alexey Loginov
2C2928BE	Jean Gallier
7F26F9D8	Jeffrey G Andrews
814EBFD8	Jonathan Grudin
7EA10205	Reetuparna Das
48BEE8B1	Mor Naaman
7F0E8C53	Andrew Harter
7DADB02F	Eugene Wu
81124D44	Kim Guldstrand Larsen
7FA97E14	Xueling Zhao
7EB628DE	Djoerd Hiemstra
7E78C7C2	M F St John
797872D6	Desmond S Lun
83B2788B	M Pfender
7751003A	Rong Zheng
08533FEB	Thomas Moscibroda
8509AEDE	Alla Safonova
6C778D56	Cedric Fournet
7ED184BA	Andreas Ernst
81433E16	Seungwon Hwang
7D5A8BF0	Ronald Fagin
84F179E2	Oskar Nyholm
755B4B87	Casey Dugan
8132B826	Haifeng Liu
7F11BD05	Milica Stojanovic
7F5057F2	P Pandurang Nayak
80D9DF77	Tudor Leu
7FFE2590	W Van Der Aalst
7F105EB0	Zhicheng Dou
80761C90	Bjorn Or Jonsson
7F1272F3	P K C Pillai
685CB206	Laszlo Babai
03994335	Remi Gribonval
7E2C2332	Matthieu Guillaumin
8086C672	Li Yin
134E56C9	Bernd Fritzke
802979C1	Steve Bennett
27AFEC01	Henry F Korth
7A7ED56E	Mark S Ackerman
7EF31BBE	Guihai Chen
74FFE20D	Dragos D Margineantu
7DED264E	Enhua Tan
5BA55476	James Philbin
8634C42C	Peter J Denning
7F6B278F	Yafeng Wu
76F4A53C	Nick Littlestone
7DAA0288	Kishor S Trivedi
7D0210B5	Marco Fiorentino
7D8022FA	Sivasankar Radhakrishnan
7DD29216	John F Patterson
7EE6247D	Narendra Ahuja
84A0D6BC	Yong Wang
291B2AA3	Rajeev Alur
81F29731	Michael L Honig
81DD8F9F	Thomas K Landauer
810FAB95	Richard Jones
7FC21B79	B Thomas Adler
84F080AB	C Elliot
80A5BE89	Xiaoqiao Meng
786C8AE9	Allan Kielstra
83B98C33	Louis A Liporace
800E2106	Weiru Liu
7624D72E	Sharath Pankanti
7D6A2A88	David M Green
79B38142	Flaviu Cristian
7DAA555B	Eugene Shih
7B16C783	Joseph A Fisher
80B6D6F3	Carsten Lutz
7EC12BFB	Paul Aarseth
7E266B77	David Sharp
7E877CE1	Richard Fikes
046C8DD4	Akram Aldroubi
023BEF3E	Enrico Giunchiglia
7FA61132	David Parker
7D6216F5	Abhinandan S Das
7ED7C357	Joong Hyuk Chang
85107180	Peter Auer
76B09F7B	Sean Gerrish
786F5433	Evan Torrie
7BB12E96	Takeshi Sakaki
8633A5DB	Witold Litwin
7616DBFF	Amir K Khandani
7EFFB974	Jun Zhang
7D086C2D	Amir Saffari
847C9B35	James B D Joshi
844F9D87	John Bloom
7EC02502	Dik Lun Lee
653A0377	Mary Elaine Califf
08C27957	Daniel P Siewiorek
7FF2A64B	Mohsen M Farid
80034411	Ruiliang Chen
75E26D1A	Supratik Bhattacharyya
80E761E7	Sridhar Ramaswamy
80734D4A	K Kuespert
84FC50AD	Geoff Wernerallen
7BB0C902	Vijay Raghunathan
80317135	Mark Harman
6C4E28CB	James J Knierim
8528C468	Christer Carlsson
23780233	Stephanie Leif Aha
7DCC2157	Sridhar Ramaswamy
751A4E3D	Richard M Karp
847A719A	Cristina Re
7D5FB879	Shu Du
6A909B50	Anastassia Ailamaki
850B38DE	S Le Grand
84C432D1	Graf
2A0EA80E	David J Kuck
7A58790E	Francine Berman
77EF7241	Gerald J Popek
811A2352	Peter Nordin
851B413A	Yunfeng Shi
7B21662B	Gholamhosein Sheikholeslami
7FEF04FB	Zohar Manna
77D4FD8A	Sebastiano Vigna
72470B6A	Derek Hoiem
7D6596F6	Wenchao Zhang
1323FF9D	Benjamin Blankertz
83736823	Jian Yang
099E8C1B	Marcio Faerman
7D1E16E3	H S Kim
7F76DA6C	Jean Ponce
8051A9ED	Daniel I Rubenstein
7B5D330C	Anne H H Ngu
814DEBF6	John Mclean
17EA61B4	Guy M Lohman
7E597531	Piyush Gupta
7D62B772	Len Bass
7BD844B4	Raymond G Beausoleil
847FD521	Frank Sherwood
59320C12	Poonacha Kongetira
7E9A5FDE	Victor Wen
7F222CB4	Bin Yu
7D29BB8C	Hujun Bao
13C19334	Zvika Brakerski
0B3A417E	Oliver M Duschka
7CB11BCD	Marco Dorigo
79B57D6F	David Ungar
